,Estimated Resident Population ;  Persons ;  New South Wales ;,Estimated Resident Population ;  Persons ;  Victoria ;,Estimated Resident Population ;  Persons ;  Queensland ;,Estimated Resident Population ;  Persons ;  South Australia ;,Estimated Resident Population ;  Persons ;  Western Australia ;,Estimated Resident Population ;  Persons ;  Tasmania ;,Estimated Resident Population ;  Persons ;  Northern Territory ;,Estimated Resident Population ;  Persons ;  Australian Capital Territory ;,Estimated Resident Population ;  Persons ;  Australia ;
Unit,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,3,3,3,3,3,3,3,3,3
Series Start,Jun-1982,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981
Series End,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023
No. Obs,168,168,168,168,168,168,168,168,168
Series ID,A2060843J,A2060844K,A2060845L,A2060846R,A2060847T,A2060848V,A2060849W,A2060850F,A2060842F
Dec-1989,5803079,4348225,2864007,1425461,1596225,458410,162097,279219,16936723
Dec-1990,5862497,4400707,2928713,1438882,1624390,464520,165047,285012,17169768
Dec-1991,5928072,4435083,2990441,1450862,1647408,468549,167043,291523,17378981
Dec-1992,5977823,4458219,3057138,1457241,1668515,471258,170420,296519,17557133
Dec-1993,6020171,4466738,3130986,1461102,1690348,472983,173590,300490,17719090
Dec-1994,6071872,4483205,3198877,1463977,1718549,474076,176761,303289,17893433
Dec-1995,6143971,4517353,3271743,1466605,1751933,475148,182829,307022,18119616
Dec-1996,6214548,4552904,3330579,1471997,1783556,475529,187342,310655,18330079
Dec-1997,6274966,4586156,3380394,1479003,1810928,474215,191259,310281,18510004
Dec-1998,6338790,4629345,3427505,1487042,1840078,473450,194390,312300,18705620
Dec-1999,6409971,4677581,3481034,1495218,1866265,473294,197757,315431,18919210
Dec-2000,6485081,4730855,3537670,1500129,1892531,473200,200045,318941,19141036
Dec-2001,6558484,4790212,3611203,1507825,1917752,473890,201751,322874,19386461
Dec-2002,6599441,4845024,3700791,1515723,1938610,475998,201549,325950,19605441
Dec-2003,6634509,4900176,3788560,1524727,1966130,481411,201708,327596,19827155
Dec-2004,6669206,4957147,3872351,1532562,1994241,484778,203857,329498,20046003
Dec-2005,6718023,5023203,3964175,1544852,2029936,488098,207385,333505,20311543
Dec-2006,6786160,5103965,4055845,1561300,2076867,491515,211029,338381,20627547
Dec-2007,6883852,5199503,4159990,1578489,2135006,495858,216618,344176,21016121
Dec-2008,7001782,5313285,4275551,1597880,2208928,501774,222526,351101,21475625
Dec-2009,7101504,5419249,4367454,1618578,2263747,506461,227783,357859,21865623
Dec-2010,7179891,5495711,4436882,1632482,2319063,510219,230299,364833,22172469
Dec-2011,7258722,5591818,4518649,1647183,2385947,511739,232952,372070,22522197
Dec-2012,7353189,5709586,4611304,1663082,2457489,511813,238728,379812,22928023
Dec-2013,7454938,5832585,4685439,1678052,2502188,513015,242304,386318,23297777
Dec-2014,7562171,5957512,4747263,1693107,2528619,514040,242753,391981,23640331
Dec-2015,7671401,6093049,4804933,1705937,2547745,515694,244090,398874,23984581
Dec-2016,7795625,6235781,4882939,1719580,2569606,521981,246065,408878,24385064
Dec-2017,7900946,6358210,4960965,1735654,2599928,531561,246862,420226,24759018
Dec-2018,8003564,6479695,5046434,1755715,2636404,542927,245920,430758,25146140
Dec-2019,8088361,6590050,5129741,1778928,2688799,553340,246213,440267,25520468
Dec-2020,8094300,6567195,5184329,1794514,2728187,561881,247819,447650,25630698
Dec-2021,8101223,6566092,5261012,1805733,2763015,568628,248125,452670,25771357
,,,,,,,,,
Average,6877216.152,5251982.394,4020148.394,1581497.636,2125725.242,497310.697,211361.0909,350180.5758,20918191.97
Average(Rounded),6877216,5251982,4020148,1581497,2125725,497310,211361,350180,20918191
